claim_id,claim_text,manuscript_section,table_or_figure,source_file,source_filter,reported_value,recomputed_value,status,notes
revision_winner_exact_pre_second_DELTA_TS,Best revision model for timing_mode=exact; checkpoint_id=pre_second; revision_target_id=DELTA_TS is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_second; revision_target_id=DELTA_TS,0.3613823734957444,0.3613823734957444,verified,
revision_winner_exact_pre_third_DELTA_MT,Best revision model for timing_mode=exact; checkpoint_id=pre_third; revision_target_id=DELTA_MT is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=exact; checkpoint_id=pre_third; revision_target_id=DELTA_MT,1.338732745080212,1.338732745080212,verified,
revision_winner_pseudo_pre_advance_DELTA_SA,Best revision model for timing_mode=pseudo; checkpoint_id=pre_advance; revision_target_id=DELTA_SA is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_advance; revision_target_id=DELTA_SA,0.5696627235545563,0.5696627235545563,verified,
revision_winner_pseudo_pre_second_DELTA_TS,Best revision model for timing_mode=pseudo; checkpoint_id=pre_second; revision_target_id=DELTA_TS is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_second; revision_target_id=DELTA_TS,0.3613823734957444,0.3613823734957444,verified,
revision_winner_pseudo_pre_third_DELTA_MT,Best revision model for timing_mode=pseudo; checkpoint_id=pre_third; revision_target_id=DELTA_MT is no_revision; spf; indicator_revision_only_dfm_kalman_em.,Results,HEADLINE_REVISION_WINNERS_FROM_FREEZE,HEADLINE_REVISION_WINNERS_FROM_FREEZE.csv,timing_mode=pseudo; checkpoint_id=pre_third; revision_target_id=DELTA_MT,1.338732745080212,1.338732745080212,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_advance_A,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=A,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_second_S,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=S,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_third_T,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=T,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_exact_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_exact_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_exact_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_exact_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=exact; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_advance_DELTA_SA,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_advance; outcome_id=DELTA_SA,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_second_DELTA_TS,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_second; outcome_id=DELTA_TS,1.0,1.0,verified,
convergence_indicator_revision_only_dfm_kalman_em_pseudo_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=indicator_revision_only_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_joint_indicator_revision_dfm_full_kalman_em_pseudo_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=joint_indicator_revision_dfm_full_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_monthly_mixed_frequency_kalman_em_pseudo_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=monthly_mixed_frequency_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
convergence_revision_dfm_kalman_em_pseudo_pre_third_DELTA_MT,State-space convergence rate is traceable to the freeze diagnostics.,Diagnostics,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100,STATE_SPACE_CONVERGENCE_MAIN_MAX_ITER100.csv,model_id=revision_dfm_kalman_em; timing_mode=pseudo; checkpoint_id=pre_third; outcome_id=DELTA_MT,1.0,1.0,verified,
